City_ID,Unnamed: 0,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
6,6,Vila Franca Do Campo,PT,37.7167,-25.4333,75.2,86.00%,100.00%,3.78,overcast clouds
8,8,Fairhope,US,30.523,-87.9033,82.06,77.00%,40.00%,6.91,scattered clouds
12,12,Sao Paulo De Olivenca,BR,-3.3783,-68.8725,84.72,70.00%,97.00%,4.72,light rain
13,13,Kapaa,US,22.0752,-159.319,81.19,72.00%,20.00%,3.0,light rain
15,15,Hirara,JP,24.8,125.2833,82.89,67.00%,56.00%,19.95,broken clouds
27,27,Susanville,US,40.4163,-120.653,79.83,12.00%,1.00%,13.0,clear sky
32,32,Lorengau,PG,-2.0226,147.2712,80.62,78.00%,100.00%,3.62,overcast clouds
34,34,Bengkulu,ID,-3.8004,102.2655,75.25,93.00%,100.00%,4.85,light rain
40,40,Cayenne,GF,4.9333,-52.3333,86.04,75.00%,20.00%,5.01,few clouds
41,41,Poya,NC,-21.35,165.15,78.73,63.00%,0.00%,2.62,clear sky
43,43,Wanxian,CN,30.8039,108.3897,77.05,73.00%,1.00%,6.02,clear sky
47,47,Kahului,US,20.8947,-156.47,86.02,65.00%,20.00%,19.57,few clouds
51,51,Camocim,BR,-2.9022,-40.8411,80.42,76.00%,65.00%,19.19,broken clouds
53,53,Guerrero Negro,MX,27.9769,-114.0611,81.79,44.00%,5.00%,12.19,clear sky
56,56,Vaini,TO,-21.2,-175.2,77.16,88.00%,75.00%,10.36,broken clouds
60,60,Hungund,IN,16.0667,76.05,77.9,74.00%,25.00%,7.45,scattered clouds
61,61,Hilo,US,19.7297,-155.09,80.33,73.00%,75.00%,6.91,broken clouds
62,62,Ishigaki,JP,24.3448,124.1572,82.89,67.00%,42.00%,20.83,scattered clouds
63,63,Georgetown,MY,5.4112,100.3354,78.73,94.00%,40.00%,1.99,moderate rain
64,64,Puerto Ayora,EC,-0.7393,-90.3518,78.76,83.00%,56.00%,7.0,broken clouds
67,67,Kharian,PK,32.8149,73.8636,78.15,65.00%,0.00%,3.15,clear sky
71,71,Matara,LK,5.9485,80.5353,77.63,88.00%,97.00%,6.13,light rain
73,73,Sola,VU,-13.8833,167.55,79.95,78.00%,84.00%,6.76,broken clouds
75,75,Naze,JP,28.3667,129.4833,76.86,79.00%,32.00%,18.95,scattered clouds
79,79,Marsaxlokk,MT,35.8419,14.5431,76.08,78.00%,0.00%,8.05,clear sky
87,87,Atuona,PF,-9.8,-139.0333,78.13,73.00%,8.00%,17.52,clear sky
88,88,Sciacca,IT,37.5082,13.0881,75.09,78.00%,6.00%,10.89,clear sky
91,91,Mayumba,GA,-3.432,10.6554,76.26,87.00%,100.00%,8.63,overcast clouds
98,98,Baker City,US,44.7749,-117.8344,75.94,20.00%,1.00%,14.97,clear sky
100,100,Iralaya,HN,15.0,-83.2333,86.09,75.00%,94.00%,8.55,overcast clouds
101,101,Maragogi,BR,-9.0122,-35.2225,75.97,78.00%,2.00%,7.83,clear sky
103,103,Caruray,PH,10.3094,119.0128,76.24,92.00%,100.00%,5.55,heavy intensity rain
104,104,Merauke,ID,-8.4667,140.3333,76.19,89.00%,27.00%,8.03,scattered clouds
106,106,Puerto Ayacucho,VE,5.6639,-67.6236,88.41,68.00%,75.00%,1.39,light rain
