,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Ribeira Grande,PT,75.6,few clouds,38.5167,-28.7,Quinta da Meia Eira
8,Butaritari,KI,82.83,broken clouds,3.0707,172.7902,Isles Sunset Lodge
15,Kirakira,SB,78.8,overcast clouds,-10.4544,161.9205,SanBiz Lodge
17,Hilo,US,76.8,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
22,Port Blair,IN,79.99,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
24,Vila Franca Do Campo,PT,76.19,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
27,Havelock,US,81.01,few clouds,34.8791,-76.9013,Sherwood Motel
32,Atuona,PF,77.72,broken clouds,-9.8,-139.0333,Villa Enata
34,Sorong,ID,76.95,overcast clouds,-0.8833,131.25,waigo splash hotel
39,Caravelas,BR,81.77,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
40,Terra Rica,BR,83.28,broken clouds,-22.7094,-52.6169,Victor Hotel
42,Ternate,ID,80.13,broken clouds,0.8,127.4,Grand Dafam Bela Ternate
43,Salalah,OM,80.15,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
48,Sao Filipe,CV,80.02,broken clouds,14.8961,-24.4956,Hotel Xaguate
49,Mabaruma,GY,78.8,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
51,Hithadhoo,MV,83.53,broken clouds,-0.6,73.0833,Scoop Guest House
52,Lucea,JM,85.86,few clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
63,Victoria,HK,85.32,light rain,22.2855,114.1577,Mini Hotel Central
66,Kahului,US,79.84,few clouds,20.8947,-156.47,Maui Seaside Hotel
67,Touros,BR,88.7,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
74,The Valley,AI,89.46,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
84,Naze,JP,77.25,clear sky,28.3667,129.4833,オーベルジュ・アガルイ
90,Bethel,US,77.02,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
92,Guerrero Negro,MX,83.07,broken clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
95,Makakilo City,US,77.32,light intensity drizzle,21.3469,-158.0858,Marriott's Ko Olina Beach Club
106,Hambantota,LK,80.49,few clouds,6.1241,81.1185,Bungalow 63
108,Tandur,IN,80.04,overcast clouds,17.2333,77.5833,SPOT ON 63149 Swagath Residency
109,Eenhana,,83.95,few clouds,-17.4667,16.3333,Hotel Litu
125,Sao Joao Da Barra,BR,84.29,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
126,Kapaa,US,75.18,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
130,Gusau,NG,86.34,clear sky,12.1628,6.6614,GUEST INN
131,Matadi,CD,85.28,broken clouds,-5.8167,13.45,Hotel Vivi Palace
135,Bandarbeyla,SO,78.85,broken clouds,9.4942,50.8122,JABIR HOTEL
137,Marsa Matruh,EG,75.4,few clouds,31.3525,27.2453,Beau Site
139,Lazaro Cardenas,MX,85.82,broken clouds,17.9583,-102.2,quinta antigua
144,Bengkulu,ID,75.63,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
147,Cagliari,IT,77.09,few clouds,39.245,9.0912,Holiday Inn Cagliari
