,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Aklavik,CA,68.2191,-135.0107,34.63,100,90,16.11,light intensity drizzle
1,Ushuaia,AR,-54.8,-68.3,51.46,43,75,17.27,light rain
2,Hilo,US,19.7297,-155.09,83.28,76,38,3.67,light rain
3,Hidalgotitlan,MX,17.7833,-94.6333,83.8,75,16,4.88,few clouds
4,Cape Town,ZA,-33.9258,18.4232,60.1,49,20,16.11,few clouds
5,Hasaki,JP,35.7333,140.8333,63.28,82,0,6.24,clear sky
6,Luderitz,NA,-26.6481,15.1594,63.95,46,0,28.77,clear sky
7,Airai,TL,-8.9266,125.4092,59.58,83,54,1.16,broken clouds
8,Leningradskiy,RU,69.3833,178.4167,15.24,84,76,4.9,broken clouds
9,Klaksvik,FO,62.2266,-6.589,49.12,88,100,31.36,overcast clouds
10,Hambantota,LK,6.1241,81.1185,80.85,80,11,13.91,few clouds
11,Yellowknife,CA,62.456,-114.3525,49.41,56,40,9.22,scattered clouds
12,Victoria,HK,22.2855,114.1577,85.32,78,52,1.01,light rain
13,Provideniya,RU,64.3833,-173.3,26.26,76,90,2.13,overcast clouds
14,Tibati,CM,6.4667,12.6333,72.86,81,39,3.4,scattered clouds
15,Qaanaaq,GL,77.484,-69.3632,31.89,97,100,9.22,light snow
16,Nikolskoye,RU,59.7035,30.7861,52.88,83,2,7.4,clear sky
17,Honiara,SB,-9.4333,159.95,77.34,89,31,2.89,scattered clouds
18,Hami,CN,42.8,93.45,51.46,30,18,5.64,few clouds
19,Geraldton,AU,-28.7667,114.6,46.81,93,0,3.44,clear sky
20,Bethel,US,41.3712,-73.414,76.93,71,51,4.05,broken clouds
21,Nuuk,GL,64.1835,-51.7216,40.87,44,17,8.99,few clouds
22,Narsaq,GL,60.9167,-46.05,48.42,46,1,4.9,clear sky
23,Hermanus,ZA,-34.4187,19.2345,58.89,70,47,9.73,scattered clouds
24,Bull Savanna,JM,17.8868,-77.5902,84.94,62,24,12.06,few clouds
25,Mataura,NZ,-46.1927,168.8643,44.47,93,100,6.22,moderate rain
26,Sao Joao Da Barra,BR,-21.6403,-41.0511,84.29,76,38,14.41,scattered clouds
27,Saint-Philippe,RE,-21.3585,55.7679,74.79,81,33,16.44,scattered clouds
28,Kapaa,US,22.0752,-159.319,73.38,82,8,1.99,light rain
29,Watsa,CD,3.0372,29.5355,65.3,97,100,0.85,moderate rain
30,Lebu,CL,-37.6167,-73.65,53.15,67,26,22.06,scattered clouds
31,Puerto Ayora,EC,-0.7393,-90.3518,72.55,77,53,11.34,broken clouds
32,Cidreira,BR,-30.1811,-50.2056,65.7,89,100,11.01,light rain
33,Hithadhoo,MV,-0.6,73.0833,83.79,74,77,15.3,broken clouds
34,Erenhot,CN,43.6475,111.9767,45.91,41,22,5.64,few clouds
35,Hearst,CA,49.6835,-83.6665,53.85,82,100,5.39,overcast clouds
36,Ippy,CF,6.2679,21.2247,71.91,89,93,3.27,light rain
37,Marawi,PH,7.9986,124.2928,67.64,99,100,0.47,overcast clouds
38,Grindavik,IS,63.8424,-22.4338,48.15,81,75,23.02,broken clouds
39,Codrington,AU,-38.2667,141.9667,48.45,92,63,14.41,broken clouds
40,Bredasdorp,ZA,-34.5322,20.0403,56.52,67,50,9.22,scattered clouds
41,Poya,NC,-21.35,165.15,71.04,93,55,5.37,broken clouds
42,Ahipara,NZ,-35.1667,173.1667,61.27,97,100,11.79,overcast clouds
43,Mar Del Plata,AR,-38.0023,-57.5575,55.42,56,75,21.0,broken clouds
44,Malumfashi,NG,11.7853,7.6218,84.02,43,1,4.16,clear sky
45,Punta Arenas,CL,-53.15,-70.9167,48.31,66,40,31.07,light intensity shower rain
46,Touros,BR,-5.1989,-35.4608,86.9,61,36,18.81,scattered clouds
47,Leh,IN,34.1667,77.5833,53.94,29,26,5.44,scattered clouds
48,Chuy,UY,-33.6971,-53.4616,62.42,61,97,11.54,overcast clouds
49,Port Elizabeth,ZA,-33.918,25.5701,58.1,67,20,13.8,few clouds
50,Jamestown,US,42.097,-79.2353,69.94,100,90,8.05,overcast clouds
51,Bluff,NZ,-46.6,168.3333,44.8,85,100,21.97,light rain
52,Maracaju,BR,-21.6144,-55.1683,94.86,32,34,17.67,scattered clouds
53,Faanui,PF,-16.4833,-151.75,78.33,73,24,9.89,few clouds
54,Busselton,AU,-33.65,115.3333,45.09,60,92,4.09,overcast clouds
55,Plouzane,FR,48.3833,-4.6167,61.12,69,20,13.8,few clouds
56,Naze,JP,28.3667,129.4833,77.56,62,0,18.95,clear sky
57,Port Alfred,ZA,-33.5906,26.891,58.06,68,36,11.74,scattered clouds
58,Rikitea,PF,-23.1203,-134.9692,72.97,65,6,16.55,clear sky
59,Flinders,AU,-34.5833,150.8552,64.38,75,85,1.01,overcast clouds
60,Chokurdakh,RU,70.6333,147.9167,21.85,96,100,9.35,overcast clouds
61,Guerrero Negro,MX,27.9769,-114.0611,79.99,53,55,3.27,broken clouds
62,Vaini,TO,-21.2,-175.2,74.03,79,97,21.16,overcast clouds
63,Khatanga,RU,71.9667,102.5,16.68,95,89,9.46,overcast clouds
64,Kofele,ET,7.0667,38.7833,52.07,90,91,6.17,light rain
65,Bubaque,GW,11.2833,-15.8333,82.11,74,100,8.72,overcast clouds
66,Mecca,SA,21.4267,39.8261,89.01,39,100,7.87,overcast clouds
67,Bonthe,SL,7.5264,-12.505,82.04,73,81,6.82,light rain
68,Monte Alegre De Minas,BR,-18.8706,-48.8808,92.05,25,31,10.92,scattered clouds
69,Puerto Escondido,MX,15.85,-97.0667,86.04,66,56,5.14,broken clouds
70,Tuktoyaktuk,CA,69.4541,-133.0374,33.8,100,90,17.27,mist
71,Moussoro,TD,13.6408,16.4901,97.48,16,63,7.2,broken clouds
72,The Valley,AI,18.217,-63.0578,89.46,66,40,18.41,scattered clouds
73,Shizunai,JP,42.3339,142.3669,62.92,86,73,6.8,broken clouds
74,New Norfolk,AU,-42.7826,147.0587,54.75,83,68,1.43,broken clouds
75,Sao Domingos,BR,-13.3983,-46.3183,101.21,15,19,4.47,few clouds
