City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Carlisle,US,2021-09-27 23:49:58,40.2015,-77.1889,72.9,73,38,5.21
1,Rikitea,PF,2021-09-27 23:46:32,-23.1203,-134.9692,73.56,73,3,20.87
2,Nome,US,2021-09-27 23:46:40,64.5011,-165.4064,37.47,65,1,9.22
3,Roald,NO,2021-09-27 23:51:14,62.5833,6.1333,64.54,55,75,12.66
4,Butaritari,KI,2021-09-27 23:51:14,3.0707,172.7902,83.84,75,27,19.15
5,Bredasdorp,ZA,2021-09-27 23:51:14,-34.5322,20.0403,51.12,87,4,5.75
6,Hobart,AU,2021-09-27 23:51:15,-42.8794,147.3294,59.25,64,75,3.0
7,Vaini,TO,2021-09-27 23:51:15,-21.2,-175.2,78.96,83,20,6.91
8,Mataura,NZ,2021-09-27 23:51:16,-46.1927,168.8643,57.47,39,47,4.5
9,Ancud,CL,2021-09-27 23:46:41,-41.8697,-73.8203,51.33,86,77,3.51
10,Husavik,IS,2021-09-27 23:51:17,66.0449,-17.3389,31.91,75,84,0.56
11,Hithadhoo,MV,2021-09-27 23:51:17,-0.6,73.0833,82.58,75,100,14.74
12,Cockburn Town,TC,2021-09-27 23:51:18,21.4612,-71.1419,82.36,69,40,3.44
13,Kodiak,US,2021-09-27 23:51:19,57.79,-152.4072,45.91,51,100,3.67
14,Kapaa,US,2021-09-27 23:51:19,22.0752,-159.319,82.18,73,40,3.0
15,Leningradskiy,RU,2021-09-27 23:51:19,69.3833,178.4167,26.47,94,100,8.1
16,Nikolskoye,RU,2021-09-27 23:51:20,59.7035,30.7861,44.8,95,0,3.06
17,Salalah,OM,2021-09-27 23:51:20,17.0151,54.0924,83.08,60,31,5.03
18,Saint-Philippe,RE,2021-09-27 23:51:21,-21.3585,55.7679,69.35,72,44,12.91
19,Tuatapere,NZ,2021-09-27 23:47:03,-46.1333,167.6833,56.82,60,70,5.93
20,Okha,RU,2021-09-27 23:51:22,53.5739,142.9478,55.67,95,100,12.62
21,Ushuaia,AR,2021-09-27 23:46:27,-54.8,-68.3,42.46,81,75,13.8
22,Punta Arenas,CL,2021-09-27 23:51:22,-53.15,-70.9167,42.91,87,75,21.85
23,Bolu,TR,2021-09-27 23:51:23,40.6667,31.5833,49.21,90,1,2.01
24,Merauke,ID,2021-09-27 23:51:23,-8.4667,140.3333,82.26,72,100,10.42
25,Sao Jose Da Coroa Grande,BR,2021-09-27 23:51:24,-8.8978,-35.1478,75.81,84,26,13.06
26,Puerto Ayora,EC,2021-09-27 23:51:24,-0.7393,-90.3518,69.24,90,94,9.8
27,Istok,XK,2021-09-27 23:51:25,42.7808,20.4875,63.52,82,72,3.6
28,Ormara,PK,2021-09-27 23:51:25,25.2088,64.6357,83.12,77,29,7.23
29,Bambous Virieux,MU,2021-09-27 23:51:26,-20.3428,57.7575,70.21,68,40,12.66
30,Thompson,CA,2021-09-27 23:51:26,55.7435,-97.8558,55.56,71,75,6.91
31,Georgetown,MY,2021-09-27 23:51:26,5.4112,100.3354,79.9,92,40,1.01
32,Bayan,CN,2021-09-27 23:51:27,46.0833,127.4,60.21,82,0,5.53
33,Macieira De Cambra,PT,2021-09-27 23:51:27,40.8594,-8.3734,61.79,93,89,2.1
34,Alice Springs,AU,2021-09-27 23:51:28,-23.7,133.8833,80.15,16,75,6.91
